0	1
0	2
0	0
0	1
1	1
1	0
1	0
1	0
1	0
1	0
0	1
1	0
2	3
3	12
3	2
3	2
3	2
3	2
2	2
2	3
3	2
2	3
2	3
2	3
4	5
4	0
4	4
4	5
5	4
4	5
5	4
5	5
5	4
4	5
5	4
5	4
6	7
6	12
7	6
6	7
6	6
7	6
7	7
7	6
6	7
6	7
7	6
6	7
8	9
8	15
9	8
8	9
8	8
8	9
8	9
8	9
9	9
9	8
8	9
9	8
10	11
11	9
11	11
10	11
10	11
11	10
10	10
11	10
11	10
11	10
11	10
11	10
12	13
13	3
12	13
13	12
12	12
12	13
13	12
13	13
13	12
13	12
12	13
13	12
14	15
15	16
15	15
14	15
14	15
14	15
14	15
14	14
15	14
15	14
14	15
15	14
16	17
16	19
16	17
17	16
17	16
16	17
17	16
17	17
17	16
16	17
17	16
16	17
18	19
19	12
18	19
18	19
18	19
18	19
19	18
18	18
19	18
19	18
19	18
19	18
